musicId,frameTime,Arousal(mean),Valence(mean)
3,23.5,0.415955,0.385621
3,24.0,0.417565,0.382362
3,24.5,0.419235,0.378957
3,25.0,0.419137,0.378717
3,25.5,0.414237,0.380838
3,26.0,0.413602,0.382227
3,26.5,0.413796,0.369916
3,27.0,0.415349,0.358238
3,27.5,0.41365,0.356376
3,28.0,0.412764,0.357282
3,28.5,0.415843,0.354646
3,29.0,0.41662,0.350141
3,29.5,0.417891,0.350947
3,30.0,0.417874,0.35144
3,30.5,0.412568,0.350148
3,31.0,0.409097,0.347886
3,31.5,0.409403,0.34907
3,32.0,0.407299,0.351278
3,32.5,0.408358,0.352684
3,33.0,0.402172,0.347649
3,33.5,0.397699,0.344662
3,34.0,0.399252,0.345334
3,34.5,0.399897,0.346086
3,35.0,0.40013,0.342773
3,35.5,0.392439,0.339189
3,36.0,0.388114,0.344732
3,36.5,0.385251,0.344904
3,37.0,0.382389,0.341483
3,37.5,0.379364,0.342806
3,38.0,0.376897,0.341603
3,38.5,0.373287,0.339668
3,39.0,0.371818,0.341766
3,39.5,0.369236,0.343728
3,40.0,0.367162,0.348773
3,40.5,0.367035,0.343009
3,41.0,0.36802,0.347284
3,41.5,0.368214,0.352575
3,42.0,0.368522,0.35853
3,42.5,0.369831,0.361816
3,43.0,0.375645,0.360286
3,43.5,0.377242,0.360669
3,44.0,0.37435,0.362876
3,44.5,0.37269,0.364919
4,15.0,0.611164,0.577143
4,15.5,0.589723,0.574031
4,16.0,0.589194,0.573478
4,16.5,0.592028,0.57559
4,17.0,0.588021,0.567971
4,17.5,0.58936,0.538416
4,18.0,0.588173,0.542243
4,18.5,0.587897,0.544257
4,19.0,0.588077,0.545472
4,19.5,0.588302,0.542772
4,20.0,0.590069,0.550202
4,20.5,0.58818,0.589733
4,21.0,0.584438,0.591932
4,21.5,0.585711,0.581107
4,22.0,0.58477,0.568159
4,22.5,0.584247,0.546251
4,23.0,0.584892,0.540959
4,23.5,0.586608,0.548042
4,24.0,0.582113,0.544815
4,24.5,0.58263,0.545386
4,25.0,0.586105,0.549657
4,25.5,0.588954,0.549249
4,26.0,0.592573,0.550422
4,26.5,0.607811,0.550324
4,27.0,0.628339,0.549485
4,27.5,0.631558,0.55522
4,28.0,0.623351,0.558273
4,28.5,0.621915,0.564019
4,29.0,0.624273,0.566829
4,29.5,0.624965,0.566944
4,30.0,0.63146,0.567412
4,30.5,0.630473,0.574838
4,31.0,0.635925,0.585374
4,31.5,0.632962,0.591978
4,32.0,0.637452,0.597225
4,32.5,0.635353,0.597627
4,33.0,0.641182,0.597333
4,33.5,0.640692,0.597107
4,34.0,0.641356,0.59799
4,34.5,0.639426,0.598275
4,35.0,0.651322,0.600966
4,35.5,0.647752,0.600713
4,36.0,0.647816,0.600205
4,36.5,0.647088,0.59921
4,37.0,0.653728,0.598714
4,37.5,0.657599,0.60181
4,38.0,0.654839,0.603452
4,38.5,0.653652,0.60529
4,39.0,0.653122,0.60652
4,39.5,0.654704,0.607605
4,40.0,0.654812,0.608772
4,40.5,0.649322,0.608784
4,41.0,0.647071,0.609448
4,41.5,0.651351,0.611137
4,42.0,0.648743,0.595169
4,42.5,0.651711,0.586543
4,43.0,0.649048,0.587446
4,43.5,0.652169,0.589942
4,44.0,0.652057,0.591355
4,44.5,0.652539,0.589666
5,15.0,0.372194,0.574527
5,15.5,0.374211,0.57413
5,16.0,0.374021,0.573685
5,16.5,0.374438,0.573478
5,17.0,0.374619,0.573928
5,17.5,0.374022,0.573464
5,18.0,0.374022,0.572826
5,18.5,0.374022,0.572897
5,19.0,0.374022,0.57321
5,19.5,0.374022,0.576283
5,20.0,0.374576,0.576658
5,20.5,0.376278,0.573923
5,21.0,0.378967,0.569268
5,21.5,0.379457,0.568867
5,22.0,0.379457,0.568913
5,22.5,0.379457,0.578225
5,23.0,0.380519,0.602459
5,23.5,0.380109,0.604392
5,24.0,0.381196,0.619565
5,24.5,0.381196,0.601647
5,25.0,0.381196,0.571424
5,25.5,0.381196,0.564981
5,26.0,0.381645,0.562807
5,26.5,0.382065,0.561032
5,27.0,0.382065,0.560566
5,27.5,0.382065,0.560231
5,28.0,0.38254,0.560652
5,28.5,0.383614,0.560652
5,29.0,0.384891,0.560817
5,29.5,0.384909,0.561304
5,30.0,0.38663,0.56147
5,30.5,0.38663,0.563106
5,31.0,0.386191,0.564987
5,31.5,0.385762,0.56579
5,32.0,0.386631,0.566045
5,32.5,0.387717,0.566087
5,33.0,0.388804,0.566087
5,33.5,0.389884,0.566087
5,34.0,0.387852,0.566087
5,34.5,0.382573,0.566087
5,35.0,0.380628,0.566087
5,35.5,0.380326,0.566087
5,36.0,0.380544,0.566247
5,36.5,0.384035,0.566304
5,37.0,0.3836,0.564942
5,37.5,0.383587,0.565001
5,38.0,0.383994,0.566292
5,38.5,0.384877,0.566307
5,39.0,0.385456,0.565251
5,39.5,0.387826,0.565
5,40.0,0.388587,0.566304
5,40.5,0.38705,0.566739
5,41.0,0.385543,0.566739
5,41.5,0.385543,0.567145
5,42.0,0.385543,0.566778
5,42.5,0.385543,0.567296
5,43.0,0.386219,0.567173
5,43.5,0.386196,0.566977
5,44.0,0.385002,0.566739
5,44.5,0.37804,0.566739
7,15.0,0.732117,0.671408
7,15.5,0.730394,0.672596
7,16.0,0.730495,0.666011
7,16.5,0.730523,0.664443
7,17.0,0.72862,0.663802
7,17.5,0.732851,0.664506
7,18.0,0.735904,0.663942
7,18.5,0.734959,0.667411
7,19.0,0.736688,0.664224
7,19.5,0.735025,0.672061
7,20.0,0.732249,0.668809
7,20.5,0.735953,0.669982
7,21.0,0.738985,0.664666
7,21.5,0.724535,0.66714
7,22.0,0.701537,0.667743
7,22.5,0.697002,0.671487
7,23.0,0.69918,0.672712
7,23.5,0.696716,0.670683
7,24.0,0.696114,0.667084
7,24.5,0.693075,0.673694
7,25.0,0.692777,0.673712
7,25.5,0.692021,0.675608
7,26.0,0.69275,0.676015
7,26.5,0.690688,0.672353
7,27.0,0.688889,0.67695
7,27.5,0.685053,0.67351
7,28.0,0.673497,0.672656
7,28.5,0.674716,0.664924
7,29.0,0.675518,0.662515
7,29.5,0.671285,0.667879
7,30.0,0.671534,0.669828
7,30.5,0.673157,0.659603
7,31.0,0.670972,0.667094
7,31.5,0.669649,0.667671
7,32.0,0.668268,0.661703
7,32.5,0.665997,0.657255
7,33.0,0.66606,0.661415
7,33.5,0.666757,0.667337
7,34.0,0.663484,0.66229
7,34.5,0.662716,0.665898
7,35.0,0.663389,0.654173
7,35.5,0.663119,0.674921
7,36.0,0.662106,0.669902
7,36.5,0.664927,0.662967
7,37.0,0.665097,0.664493
7,37.5,0.665891,0.669419
7,38.0,0.66558,0.669057
7,38.5,0.665868,0.663351
7,39.0,0.666281,0.657525
7,39.5,0.664897,0.672914
7,40.0,0.665844,0.674701
7,40.5,0.666581,0.663806
7,41.0,0.665621,0.665457
7,41.5,0.666963,0.66566
7,42.0,0.666869,0.650775
7,42.5,0.67039,0.647638
7,43.0,0.669501,0.647515
7,43.5,0.669636,0.659622
7,44.0,0.670481,0.658259
7,44.5,0.67101,0.660865
8,15.0,0.430934,0.530433
8,15.5,0.431533,0.531003
8,16.0,0.429765,0.531431
8,16.5,0.430506,0.52655
8,17.0,0.430927,0.500288
8,17.5,0.429624,0.494464
8,18.0,0.429575,0.491337
8,18.5,0.430744,0.479941
8,19.0,0.42986,0.476087
8,19.5,0.437134,0.476087
8,20.0,0.438985,0.48087
8,20.5,0.437297,0.481978
8,21.0,0.431041,0.487768
8,21.5,0.429678,0.49
8,22.0,0.429531,0.491636
8,22.5,0.429048,0.492826
8,23.0,0.42954,0.492826
8,23.5,0.428864,0.492826
8,24.0,0.428513,0.492826
8,24.5,0.428282,0.492826
8,25.0,0.430663,0.495212
8,25.5,0.43464,0.495217
8,26.0,0.436112,0.494746
8,26.5,0.436739,0.495436
8,27.0,0.436937,0.495816
8,27.5,0.438669,0.49609
8,28.0,0.440435,0.496455
8,28.5,0.441107,0.497174
8,29.0,0.442511,0.496739
8,29.5,0.443632,0.497563
8,30.0,0.443996,0.49843
8,30.5,0.444183,0.498478
8,31.0,0.444433,0.496776
8,31.5,0.444568,0.494246
8,32.0,0.444988,0.49375
8,32.5,0.446098,0.493695
8,33.0,0.447358,0.494015
8,33.5,0.448234,0.494193
8,34.0,0.447845,0.494452
8,34.5,0.447675,0.493659
8,35.0,0.445503,0.504783
8,35.5,0.440948,0.509932
8,36.0,0.437813,0.509029
8,36.5,0.43727,0.506847
8,37.0,0.434871,0.503537
8,37.5,0.432623,0.502141
8,38.0,0.431957,0.500777
8,38.5,0.431805,0.501547
8,39.0,0.430487,0.503384
8,39.5,0.432174,0.504427
8,40.0,0.430203,0.505071
8,40.5,0.430435,0.505144
8,41.0,0.427643,0.504565
8,41.5,0.425621,0.504565
8,42.0,0.423453,0.505081
8,42.5,0.424399,0.504115
8,43.0,0.420603,0.503695
8,43.5,0.419782,0.503838
8,44.0,0.418542,0.50413
8,44.5,0.416474,0.50413
10,15.0,0.435497,0.545984
10,15.5,0.433535,0.547706
10,16.0,0.430674,0.547502
10,16.5,0.430249,0.548204
10,17.0,0.428671,0.547545
10,17.5,0.424482,0.546088
10,18.0,0.421559,0.546223
10,18.5,0.424634,0.548081
10,19.0,0.420131,0.550238
10,19.5,0.424254,0.551305
10,20.0,0.426964,0.550476
10,20.5,0.426903,0.54749
10,21.0,0.420473,0.550068
10,21.5,0.418325,0.551445
10,22.0,0.410454,0.552598
10,22.5,0.408039,0.552898
10,23.0,0.408142,0.552837
10,23.5,0.40557,0.55268
10,24.0,0.405573,0.552826
10,24.5,0.406776,0.552826
10,25.0,0.408282,0.552826
10,25.5,0.409954,0.552826
10,26.0,0.412841,0.553257
10,26.5,0.417114,0.553139
10,27.0,0.413501,0.551333
10,27.5,0.41184,0.550408
10,28.0,0.414241,0.55033
10,28.5,0.418461,0.538229
10,29.0,0.418081,0.506182
10,29.5,0.418013,0.497677
10,30.0,0.415282,0.49637
10,30.5,0.411242,0.498178
10,31.0,0.40573,0.496485
10,31.5,0.410112,0.496992
10,32.0,0.414142,0.497174
10,32.5,0.411797,0.4947
10,33.0,0.410065,0.49273
10,33.5,0.410115,0.492362
10,34.0,0.411048,0.493094
10,34.5,0.410208,0.493937
10,35.0,0.401352,0.49455
10,35.5,0.400239,0.495441
10,36.0,0.406537,0.495919
10,36.5,0.413006,0.495
10,37.0,0.410166,0.495
10,37.5,0.415226,0.495837
10,38.0,0.412637,0.496957
10,38.5,0.408868,0.496895
10,39.0,0.408988,0.496739
10,39.5,0.413879,0.496739
10,40.0,0.409537,0.496739
10,40.5,0.403043,0.496957
10,41.0,0.408547,0.497174
10,41.5,0.407602,0.497391
10,42.0,0.408131,0.497391
10,42.5,0.409448,0.498115
10,43.0,0.404967,0.498696
10,43.5,0.418005,0.498696
10,44.0,0.419158,0.498696
10,44.5,0.41717,0.499058
12,15.0,0.611072,0.665431
12,15.5,0.612436,0.664209
12,16.0,0.615367,0.663539
12,16.5,0.615827,0.66476
12,17.0,0.616728,0.665338
12,17.5,0.616456,0.665514
12,18.0,0.615048,0.666033
12,18.5,0.615414,0.666265
12,19.0,0.620376,0.666425
12,19.5,0.626382,0.666276
12,20.0,0.628065,0.665033
12,20.5,0.625798,0.664994
12,21.0,0.625798,0.66517
12,21.5,0.62094,0.668132
12,22.0,0.623518,0.671004
12,22.5,0.625111,0.671698
12,23.0,0.632621,0.672077
12,23.5,0.63546,0.672077
12,24.0,0.632796,0.672077
12,24.5,0.637775,0.672549
12,25.0,0.640966,0.672729
12,25.5,0.640238,0.672729
12,26.0,0.637379,0.672729
12,26.5,0.640413,0.672349
12,27.0,0.642388,0.67177
12,27.5,0.643361,0.671642
12,28.0,0.641865,0.672934
12,28.5,0.641378,0.6736
12,29.0,0.642249,0.6736
12,29.5,0.646739,0.670973
12,30.0,0.64771,0.66629
12,30.5,0.651251,0.664598
12,31.0,0.655167,0.664033
12,31.5,0.655064,0.665114
12,32.0,0.65448,0.666806
12,32.5,0.654676,0.667992
12,33.0,0.650386,0.666141
12,33.5,0.64797,0.667911
12,34.0,0.649177,0.670599
12,34.5,0.649493,0.672806
12,35.0,0.651915,0.673815
12,35.5,0.659214,0.675747
12,36.0,0.661479,0.676832
12,36.5,0.660463,0.677775
12,37.0,0.658604,0.677294
12,37.5,0.660536,0.677093
12,38.0,0.662532,0.674772
12,38.5,0.665225,0.673319
12,39.0,0.666298,0.673385
12,39.5,0.663717,0.6737
12,40.0,0.659504,0.674725
12,40.5,0.6546,0.675503
12,41.0,0.653359,0.675558
12,41.5,0.656513,0.676634
12,42.0,0.659689,0.677823
12,42.5,0.660157,0.678395
12,43.0,0.65811,0.678041
12,43.5,0.660181,0.673167
12,44.0,0.660684,0.671037
12,44.5,0.660216,0.671428
13,15.0,0.328936,0.408169
13,15.5,0.326726,0.408265
13,16.0,0.326228,0.405355
13,16.5,0.325417,0.405923
13,17.0,0.326555,0.405572
13,17.5,0.325439,0.403667
13,18.0,0.3242,0.400511
13,18.5,0.323143,0.394806
13,19.0,0.32703,0.393276
13,19.5,0.329761,0.392312
13,20.0,0.331936,0.392327
13,20.5,0.333181,0.393182
13,21.0,0.335406,0.392826
13,21.5,0.336012,0.390972
13,22.0,0.337122,0.38747
13,22.5,0.340653,0.38511
13,23.0,0.342099,0.382887
13,23.5,0.341101,0.382516
13,24.0,0.339933,0.381372
13,24.5,0.342264,0.380068
13,25.0,0.343186,0.379754
13,25.5,0.342414,0.379433
13,26.0,0.338727,0.379051
13,26.5,0.337034,0.377833
13,27.0,0.336182,0.37731
13,27.5,0.334268,0.376839
13,28.0,0.333078,0.376313
13,28.5,0.328707,0.376651
13,29.0,0.328383,0.377557
13,29.5,0.328614,0.377963
13,30.0,0.334719,0.377963
13,30.5,0.334884,0.377963
13,31.0,0.338275,0.37839
13,31.5,0.344734,0.378397
13,32.0,0.346802,0.37992
13,32.5,0.349029,0.384163
13,33.0,0.353346,0.385425
13,33.5,0.35555,0.383944
13,34.0,0.348484,0.384992
13,34.5,0.340727,0.387668
13,35.0,0.342883,0.388853
13,35.5,0.343917,0.389227
13,36.0,0.343902,0.389108
13,36.5,0.342296,0.387544
13,37.0,0.3421,0.387514
13,37.5,0.342473,0.386969
13,38.0,0.340638,0.385374
13,38.5,0.337773,0.384448
13,39.0,0.335249,0.383559
13,39.5,0.333094,0.383458
13,40.0,0.3267,0.38318
13,40.5,0.324194,0.382329
13,41.0,0.324313,0.38231
13,41.5,0.323714,0.38231
13,42.0,0.323381,0.383607
13,42.5,0.324097,0.384684
13,43.0,0.330664,0.384919
13,43.5,0.335358,0.382745
13,44.0,0.336445,0.382745
13,44.5,0.337418,0.38318
17,15.0,0.507982,0.57508
17,15.5,0.508584,0.573211
17,16.0,0.508673,0.57253
17,16.5,0.508729,0.572282
17,17.0,0.508672,0.572282
17,17.5,0.504079,0.572691
17,18.0,0.500876,0.572934
17,18.5,0.497123,0.572934
17,19.0,0.498742,0.57355
17,19.5,0.499122,0.574467
17,20.0,0.499239,0.578983
17,20.5,0.499464,0.582067
17,21.0,0.499852,0.584061
17,21.5,0.499891,0.585887
17,22.0,0.499673,0.58548
17,22.5,0.499239,0.584546
17,23.0,0.495981,0.584059
17,23.5,0.491869,0.584765
17,24.0,0.49163,0.587385
17,24.5,0.49163,0.582808
17,25.0,0.49163,0.58194
17,25.5,0.49163,0.581412
17,26.0,0.497113,0.581538
17,26.5,0.514902,0.581847
17,27.0,0.527569,0.581629
17,27.5,0.535541,0.581319
17,28.0,0.540326,0.581843
17,28.5,0.540326,0.584116
17,29.0,0.540111,0.583745
17,29.5,0.539891,0.585033
17,30.0,0.539891,0.586429
17,30.5,0.540054,0.587934
17,31.0,0.540892,0.587934
17,31.5,0.541631,0.587934
17,32.0,0.54243,0.58806
17,32.5,0.542935,0.588803
17,33.0,0.542935,0.588803
17,33.5,0.542935,0.588803
17,34.0,0.542935,0.588803
17,34.5,0.539692,0.589238
17,35.0,0.532248,0.590029
17,35.5,0.526392,0.590108
17,36.0,0.525544,0.590108
17,36.5,0.520759,0.590108
17,37.0,0.519315,0.590108
17,37.5,0.517858,0.589708
17,38.0,0.516114,0.589455
17,38.5,0.512461,0.590875
17,39.0,0.511585,0.591629
17,39.5,0.510761,0.594514
17,40.0,0.509845,0.595426
17,40.5,0.508654,0.592642
17,41.0,0.506522,0.593014
17,41.5,0.507935,0.593586
17,42.0,0.508318,0.594238
17,42.5,0.511213,0.593238
17,43.0,0.51163,0.592282
17,43.5,0.51163,0.592717
17,44.0,0.51163,0.592717
17,44.5,0.51163,0.592717
18,15.0,0.416986,0.541146
18,15.5,0.416986,0.538332
18,16.0,0.416974,0.534943
18,16.5,0.416756,0.534098
18,17.0,0.415659,0.53158
18,17.5,0.415247,0.530326
18,18.0,0.414989,0.526588
18,18.5,0.413308,0.525995
18,19.0,0.41329,0.524518
18,19.5,0.41329,0.521709
18,20.0,0.41329,0.52137
18,20.5,0.41329,0.520422
18,21.0,0.41329,0.519391
18,21.5,0.413291,0.519216
18,22.0,0.413944,0.519132
18,22.5,0.415223,0.517828
18,23.0,0.414643,0.518304
18,23.5,0.41416,0.516651
18,24.0,0.413944,0.515899
18,24.5,0.413509,0.514584
18,25.0,0.413392,0.514554
18,25.5,0.414378,0.513304
18,26.0,0.41503,0.514235
18,26.5,0.413521,0.513708
18,27.0,0.412432,0.505996
18,27.5,0.411965,0.486852
18,28.0,0.412288,0.476339
18,28.5,0.411987,0.474748
18,29.0,0.411793,0.473355
18,29.5,0.41177,0.47221
18,30.0,0.413608,0.470929
18,30.5,0.421052,0.47026
18,31.0,0.427346,0.47026
18,31.5,0.430614,0.470694
18,32.0,0.432145,0.470345
18,32.5,0.433339,0.467104
18,33.0,0.43379,0.463595
18,33.5,0.436121,0.460176
18,34.0,0.437104,0.458563
18,34.5,0.437658,0.454073
18,35.0,0.437214,0.452764
18,35.5,0.437204,0.454493
18,36.0,0.437534,0.454607
18,36.5,0.438747,0.454221
18,37.0,0.439161,0.452837
18,37.5,0.439161,0.451564
18,38.0,0.439143,0.450794
18,38.5,0.438726,0.450694
18,39.0,0.438726,0.450052
18,39.5,0.438726,0.449607
18,40.0,0.438726,0.449825
18,40.5,0.438726,0.445131
18,41.0,0.438509,0.421899
18,41.5,0.438388,0.418092
18,42.0,0.437211,0.418351
18,42.5,0.438074,0.418774
18,43.0,0.438273,0.415938
18,43.5,0.436788,0.41016
18,44.0,0.437777,0.409459
18,44.5,0.442778,0.408826
19,15.0,0.664621,0.539971
19,15.5,0.662603,0.54044
19,16.0,0.660786,0.540647
19,16.5,0.652712,0.537571
19,17.0,0.6525,0.531372
19,17.5,0.646421,0.526961
19,18.0,0.618601,0.525926
19,18.5,0.634159,0.524295
19,19.0,0.636178,0.520537
19,19.5,0.636272,0.520098
19,20.0,0.638217,0.520767
19,20.5,0.63957,0.520779
19,21.0,0.64037,0.519854
19,21.5,0.640269,0.519258
19,22.0,0.641635,0.519018
19,22.5,0.642148,0.518476
19,23.0,0.644098,0.518281
19,23.5,0.645665,0.517383
19,24.0,0.645555,0.516709
19,24.5,0.645504,0.513859
19,25.0,0.645279,0.509944
19,25.5,0.646003,0.50857
19,26.0,0.646745,0.507247
19,26.5,0.645607,0.508216
19,27.0,0.64491,0.506075
19,27.5,0.644334,0.504167
19,28.0,0.643731,0.502678
19,28.5,0.640175,0.498583
19,29.0,0.641171,0.497474
19,29.5,0.642436,0.493658
19,30.0,0.646042,0.489727
19,30.5,0.644873,0.48734
19,31.0,0.640053,0.485361
19,31.5,0.641435,0.48366
19,32.0,0.643966,0.478633
19,32.5,0.641241,0.477077
19,33.0,0.638247,0.475814
19,33.5,0.635471,0.475538
19,34.0,0.629674,0.475103
19,34.5,0.60921,0.476679
19,35.0,0.617801,0.478988
19,35.5,0.624875,0.48057
19,36.0,0.629891,0.482071
19,36.5,0.632482,0.482965
19,37.0,0.634923,0.48438
19,37.5,0.63514,0.482244
19,38.0,0.635263,0.480413
19,38.5,0.636274,0.473808
19,39.0,0.639985,0.469238
19,39.5,0.640807,0.470887
19,40.0,0.641055,0.469663
19,40.5,0.640341,0.467366
19,41.0,0.638507,0.465517
19,41.5,0.637745,0.465241
19,42.0,0.636879,0.463865
19,42.5,0.639756,0.462543
19,43.0,0.642315,0.461901
19,43.5,0.64284,0.462031
19,44.0,0.641553,0.461818
19,44.5,0.639002,0.461512
20,15.0,0.516652,0.659463
20,15.5,0.519572,0.660413
20,16.0,0.519851,0.662126
20,16.5,0.521233,0.662488
20,17.0,0.526501,0.661916
20,17.5,0.528668,0.663718
20,18.0,0.526359,0.662215
20,18.5,0.533195,0.661728
20,19.0,0.520876,0.660847
20,19.5,0.515434,0.660837
20,20.0,0.51992,0.664017
20,20.5,0.521742,0.672782
20,21.0,0.524208,0.676355
20,21.5,0.528292,0.676716
20,22.0,0.527177,0.674878
20,22.5,0.527002,0.673847
20,23.0,0.524398,0.675236
20,23.5,0.524926,0.676155
20,24.0,0.522162,0.673673
20,24.5,0.517913,0.671172
20,25.0,0.519363,0.667356
20,25.5,0.519046,0.667857
20,26.0,0.515968,0.668131
20,26.5,0.51746,0.667897
20,27.0,0.519866,0.667283
20,27.5,0.521195,0.667717
20,28.0,0.521705,0.667934
20,28.5,0.519547,0.667949
20,29.0,0.519663,0.668152
20,29.5,0.520778,0.668369
20,30.0,0.518817,0.668804
20,30.5,0.52026,0.667777
20,31.0,0.516964,0.662586
20,31.5,0.517362,0.66227
20,32.0,0.515879,0.662341
20,32.5,0.516469,0.66217
20,33.0,0.517436,0.662065
20,33.5,0.513688,0.662223
20,34.0,0.514828,0.662949
20,34.5,0.514361,0.663498
20,35.0,0.517376,0.665711
20,35.5,0.514498,0.668572
20,36.0,0.517425,0.672927
20,36.5,0.518622,0.675065
20,37.0,0.520304,0.675108
20,37.5,0.51844,0.675108
20,38.0,0.519789,0.675108
20,38.5,0.520521,0.675108
20,39.0,0.522393,0.675326
20,39.5,0.522307,0.675326
20,40.0,0.525831,0.675326
20,40.5,0.527504,0.675326
20,41.0,0.525,0.675326
20,41.5,0.521599,0.675612
20,42.0,0.52163,0.675109
20,42.5,0.524376,0.676782
20,43.0,0.524516,0.676391
20,43.5,0.526308,0.67132
20,44.0,0.530267,0.66561
20,44.5,0.525554,0.66505
21,15.0,0.696176,0.664075
21,15.5,0.695407,0.66426
21,16.0,0.691177,0.664253
21,16.5,0.690862,0.664075
21,17.0,0.688885,0.664272
21,17.5,0.690852,0.664944
21,18.0,0.693318,0.664944
21,18.5,0.688857,0.666298
21,19.0,0.688668,0.666641
21,19.5,0.688668,0.669847
21,20.0,0.688676,0.670596
21,20.5,0.689103,0.672089
21,21.0,0.689103,0.672494
21,21.5,0.68932,0.668012
21,22.0,0.689674,0.667115
21,22.5,0.692361,0.667115
21,23.0,0.694568,0.667115
21,23.5,0.694755,0.666915
21,24.0,0.694755,0.666462
21,24.5,0.694755,0.666245
21,25.0,0.694755,0.66668
21,25.5,0.694755,0.666971
21,26.0,0.697034,0.664232
21,26.5,0.697365,0.662332
21,27.0,0.697798,0.662332
21,27.5,0.697979,0.662204
21,28.0,0.698448,0.66168
21,28.5,0.698844,0.66168
21,29.0,0.699147,0.66168
21,29.5,0.699646,0.66168
21,30.0,0.700689,0.66168
21,30.5,0.701686,0.661396
21,31.0,0.701929,0.661245
21,31.5,0.702143,0.661245
21,32.0,0.702802,0.661197
21,32.5,0.703185,0.661028
21,33.0,0.70345,0.661876
21,33.5,0.703492,0.663202
21,34.0,0.704045,0.663312
21,34.5,0.70432,0.663059
21,35.0,0.70432,0.663389
21,35.5,0.706059,0.663419
21,36.0,0.706711,0.663419
21,36.5,0.70743,0.66386
21,37.0,0.70758,0.665376
21,37.5,0.702346,0.665376
21,38.0,0.699988,0.665376
21,38.5,0.697163,0.665916
21,39.0,0.693414,0.667332
21,39.5,0.691361,0.667433
21,40.0,0.692146,0.667933
21,40.5,0.693255,0.668854
21,41.0,0.693667,0.668854
21,41.5,0.693687,0.668854
21,42.0,0.693203,0.668854
21,42.5,0.690841,0.669037
21,43.0,0.690841,0.670158
21,43.5,0.690263,0.670246
21,44.0,0.690968,0.670811
21,44.5,0.693045,0.670811
22,15.0,0.419266,0.510815
22,15.5,0.418174,0.511829
22,16.0,0.418401,0.511418
22,16.5,0.423541,0.510136
22,17.0,0.425399,0.510288
22,17.5,0.430706,0.510519
22,18.0,0.432963,0.509833
22,18.5,0.431007,0.509133
22,19.0,0.42588,0.508021
22,19.5,0.422947,0.507873
22,20.0,0.423746,0.508391
22,20.5,0.416887,0.510517
22,21.0,0.414993,0.507167
22,21.5,0.414334,0.507123
22,22.0,0.414003,0.504654
22,22.5,0.417158,0.503402
22,23.0,0.419011,0.504008
22,23.5,0.419043,0.506076
22,24.0,0.417303,0.50567
22,24.5,0.416885,0.504851
22,25.0,0.420441,0.506178
22,25.5,0.420793,0.508728
22,26.0,0.419643,0.508105
22,26.5,0.419096,0.50496
22,27.0,0.418356,0.503895
22,27.5,0.421078,0.506431
22,28.0,0.42198,0.508462
22,28.5,0.420109,0.508576
22,29.0,0.421107,0.509265
22,29.5,0.421518,0.507337
22,30.0,0.420449,0.508631
22,30.5,0.419706,0.509376
